ODC_0	ODC_1	ODC_2	ODC_5	ODC_6	IBD-AP_0	PSO-AP_0	RA_AP_0	RA_AP_2	CTR_0	MP-ST_0	MP-ST_2	MP-ST_3	MP-ST_5	MP-ST_6	MP-TA_0	BRE-ST_0	BRE-ST_1	COL_0	COL_2	MM-ST_0	UM-ST_0	UM-ST_1
Ethanol oxidation	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.440137742180832	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.582540698198807	0.99936320502732	0.489416967338591	0.504572046194969	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732
Signaling by APC mutants	0.433147932684211	0.0142622979528707	0.0135660065925421	0.00893913906288567	0.0184932856025527	0.0031777135889066	0.854154342594714	0.554393109878504	0.643922693905638	0.0117808913356195	0.000617294690510446	0.00341335417819786	0.00457087768505524	0.00544494732991217	0.0141469876922382	0.715402749769478	0.492442048418576	0.000338358011811893	0.0250594928182251	0.00234303442564852	0.0459924775962253	0.461536526958186	0.0531976788373253
SUMOylation of transcription factors	0.182581839994592	0.177737708137474	0.378380141109137	0.343883661397143	0.313511604059396	0.57638588822827	0.0593704413442307	0.00453032456820004	0.00819465765089618	0.00988171037066668	0.734463635556566	0.319388004336238	0.186529091437629	0.25283957455258	0.00380566243128588	0.000237217488210024	0.493857206117783	0.0653818421737744	0.142815308289545	0.0183185743223653	0.00531752762535697	0.0509070839221178	0.0198155849528345
Truncations of AMER1 destabilize the destruction complex	0.407206708338753	0.0143373895167637	0.00882512974094414	0.0128181822828571	0.00989422105600053	0.00335869382198571	0.799094821213067	0.579025619065779	0.652678883311679	0.0121066881133726	0.00104739293578367	0.00489758290106657	0.00626946197517106	0.00893288668148377	0.00937283921762331	0.699996157195317	0.495040281255441	0.000482141964413566	0.0105025795841791	0.000719393514993842	0.0535927139540529	0.446463756354339	0.0490621074254232
Signaling by AXIN mutants	0.473915011811348	0.0187971874412626	0.00763011279495453	0.00981167016909546	0.0105236643392899	0.00264782291750255	0.833016171555152	0.573329632248729	0.654025998349243	0.0181596570075171	0.00198330984824961	0.00379981514348479	0.00431284242225175	0.0117224163715513	0.0107909928748402	0.718286111660516	0.496985760916142	0.000338207695282336	0.0192872367743938	0.00196104611418515	0.0573409468231015	0.425569110317985	0.0524204309904606
Activation of NOXA and translocation to mitochondria	0.738343928356333	0.375723906527093	0.371469039911544	0.380802235865251	0.3793321273674	0.99936320502732	0.99936320502732	0.571981346716812	0.521345845520702	0.390810402105458	0.771536486048424	0.676949271499663	0.712362521514447	0.306058463594506	0.696032128034465	0.675032869907247	0.497404096424928	0.555334384599666	0.210493774784724	0.220310405820789	0.390777133974834	0.770510782098352	0.576382031898193
PI5P Regulates TP53 Acetylation	0.221118694810547	0.24801027065302	0.168065108539536	0.163627993331744	0.169345754498555	0.191989898007784	0.99936320502732	0.00343725277660113	0.00667264402191815	0.134383826322627	0.205229327414853	0.244753840744226	0.219851663046839	0.332235715159597	0.590788756979395	0.305742312013146	0.504648884616964	0.247426635778374	0.783493675167388	0.411051005087463	0.25390854191403	0.464123051619887	0.0860901761102504
Transcriptional regulation of testis differentiation	0.0427436405853069	0.000784745933116504	0.00024954880770928	0.000342479302980505	0.000162003356717803	0.0128490991160743	0.734183599213899	0.00387121492362765	0.00464360083573627	0.00876572168231416	0.743281472764477	0.00407514973908484	0.0173316868376414	0.202216332225586	0.126835153010297	0.160160605279048	0.506031961383243	0.011010987815661	0.118404353332286	0.00516442784320582	0.00740706634062325	0.601586561971778	0.00603479294203292
AXIN missense mutants destabilize the destruction complex	0.447447547056577	0.00771497385336018	0.0182270062861109	0.010698525306332	0.0102491000770768	0.00140996898631487	0.827334022146658	0.569648862200179	0.661768256162982	0.0238304796242325	0.000467567674740263	0.00560499757101121	0.00278240210835376	0.00487215580275146	0.00716149664088316	0.702124497374469	0.511981863623934	0.000191794602479618	0.0395074387346793	0.00371258695451989	0.0406498070638496	0.481621087217448	0.0767115153003384
Activation of PUMA and translocation to mitochondria	0.704730413355622	0.414141743913574	0.431937612255966	0.352970871489943	0.348783470722195	0.99936320502732	0.99936320502732	0.565814707133278	0.536624821269581	0.129588498648604	0.768243459830915	0.668204572128433	0.687114313594384	0.324677658250383	0.705443664851221	0.675638545927685	0.514548832917016	0.0380984595898549	0.239500851573224	0.0675531427496044	0.355861243387477	0.804654075546489	0.240921803115594
Dimerization of procaspase-8	0.711255395711729	0.136242388363857	0.188172417580201	0.17870958996404	0.18062709435663	0.111404984638421	0.668106754424129	0.630466044901731	0.0637746326013996	0.0172234742022053	0.167263409775781	0.0634420776939973	0.0432339279843683	0.0283868324691732	0.00886102527422558	0.706104011432076	0.520027740872819	0.00409723437863657	0.00231681714544568	0.00978089315864749	0.320848687239185	0.70556141838388	0.0958208235506555
FasL/ CD95L signaling	0.99936320502732	0.695588102997191	0.695800257379359	0.734718039420848	0.693922526635182	0.059890402727794	0.558002964142166	0.0214153523296832	0.301918045537901	0.00388409950409544	0.0154096521918099	0.0477313299460057	0.0548368031010315	0.0448372504270828	0.00328544995008945	0.99936320502732	0.520272197106006	0.00144190946517292	0.00762063041128255	0.00294740967125516	0.166371417362533	0.99936320502732	0.0587343267787525
NR1H2 & NR1H3 regulate gene expression linked to lipogenesis	0.677883711975062	0.278253981604194	0.50656269128399	0.498491807346787	0.521271389816546	0.99936320502732	0.444311978513278	0.73908326410238	0.707804227116038	0.647130184873976	0.99936320502732	0.438828945424754	0.463824992187149	0.449928825372542	0.451441995451796	0.482535913554554	0.520808301008572	0.573589428575524	0.99936320502732	0.0319940940374845	0.638864273056915	0.710214184077747	0.0181812534696792
Formation of tubulin folding intermediates by CCT/TriC	0.99936320502732	0.00512560709552414	0.00470379759294296	0.00354486980640035	0.00753412492836524	0.99936320502732	0.99936320502732	0.740916595729936	0.745846355371449	8.39528396393334e-06	0.99936320502732	0.00025975498628585	0.000137875904686086	0.000155664004139294	2.9274675894857e-06	0.99936320502732	0.524756691112686	0.0495835029652896	0.99936320502732	0.00163694071256241	0.645729661199917	0.745101774351307	0.517874142973468
Sealing of the nuclear envelope (NE) by ESCRT-III	0.99936320502732	0.00547818002480026	0.00678786093911719	0.00514017700509214	0.00420597466463881	0.99936320502732	0.99936320502732	0.728675741414122	0.727240837843683	0.00134045636385646	0.99936320502732	0.00440149036935688	0.00367336084603475	0.00328276714263945	0.000739714017748238	0.99936320502732	0.53264507766931	0.230777319480048	0.99936320502732	0.00177781119818694	0.654045170631515	0.719406549037694	0.645157384642216
Regulation by c-FLIP	0.722064239316955	0.126042639000232	0.169235658229752	0.165147867451515	0.140995106395168	0.1213481979363	0.700413213917009	0.645829820115641	0.0384679850955893	0.0132624662982	0.162090500713971	0.0462966715714455	0.049590861179936	0.0263698817754847	0.00788563379619977	0.744138336909438	0.537768476050896	0.00380095974792115	0.0026826555507012	0.00986892060211741	0.341627889960532	0.713735634830862	0.0831304981090732
Transport of Mature Transcript to Cytoplasm	0.648941243348704	0.639228615036459	0.638750446545727	0.655196864870992	0.643475548780907	0.197646569516283	0.99936320502732	0.737186231386359	0.747395103884112	0.146889045823983	0.73092506266946	0.0133909017078089	0.00509274626839688	0.00205525333829068	0.0330742306374092	0.606073383025809	0.538796124183591	0.536629704046403	0.745590310062939	0.014257818118091	0.271057993733222	0.737395743976553	0.00166465259691675
Post-chaperonin tubulin folding pathway	0.99936320502732	0.0048228202742603	0.00456256553689315	0.00375095844219632	0.00765443531175812	0.99936320502732	0.99936320502732	0.746264764340382	0.753268391670913	0.000570474904213123	0.99936320502732	0.00832780482542544	0.00458873122212662	0.00379745264735918	0.000834177060693403	0.99936320502732	0.540174430178944	0.187030244816667	0.99936320502732	0.00129789566687241	0.645261137187457	0.743435039051507	0.49003593920444
Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S	0.75866410382677	0.712944686397134	0.727149022322858	0.703531565973931	0.738158975781776	0.713591112686305	0.99936320502732	0.0691744843280809	0.145749407760724	0.360633565932399	0.694941276095854	0.0904935851913918	0.066984344991614	0.0884565001949623	0.317078802932632	0.183466523967241	0.541490151817506	0.347039420403703	0.654351137619994	0.499675577266647	0.102797215971333	0.673465853141506	0.355080765470777
RNA Polymerase II Transcription Termination	0.99936320502732	0.0565413107164134	0.0353525110631233	0.0472086084935495	0.0394810029806219	0.71434396917476	0.99936320502732	0.99936320502732	0.99936320502732	0.000118288751408817	0.707041923821264	0.751832926261691	0.740200641090686	0.706136870284216	0.390751304179964	0.99936320502732	0.547022544845592	2.67725278597082e-05	0.715642868924284	0.0134750756178469	0.000170252149488578	0.99936320502732	0.00639231543585249
Biosynthesis of maresins	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.0195983739214982	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.549506913371003	0.618263565784373	0.99936320502732	0.187500221157786	0.99936320502732	0.99936320502732	0.680913428533147
ROBO receptors bind AKAP5	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.680282575433107	0.669850644312512	0.535342172673997	0.616772039546117	0.273328470966729	0.681363300250463	0.263234220169195	0.0789845268150453	0.0821919738475834	0.0389517957147196	0.418423061674723	0.549642902497353	0.0385283939913756	0.99936320502732	0.033177234353764	0.198202544939844	0.670645075278072	0.46891537500314
Biosynthesis of maresin-like SPMs	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.0139285032059214	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.553973765746354	0.610881186864094	0.99936320502732	0.177575152332488	0.99936320502732	0.99936320502732	0.696258472117569
RUNX1 regulates estrogen receptor mediated transcription	0.307334488271395	0.0250827439056573	0.0353668223220317	0.00568775036255843	0.00723716448503749	0.11650636216149	0.366253660166182	0.668829091352051	0.696591093359453	0.000205424967838119	0.752980209268168	0.709348611468529	0.673609263714562	0.713556572590007	0.561312584118836	0.782257770011151	0.555621235782773	0.247379191908153	0.743722104452605	0.759211657487543	0.301562812169911	0.737341839602126	0.181859874931294
mRNA 3'-end processing	0.99936320502732	0.0287601636745552	0.0353577703218553	0.0401554304456425	0.0488501919258385	0.70973804901732	0.99936320502732	0.99936320502732	0.99936320502732	2.121360304897e-05	0.717121464270021	0.739011099273656	0.750557047355465	0.719374501654739	0.379838924084331	0.99936320502732	0.555748933538828	3.86697046169022e-05	0.728824243103569	0.0177431576418487	0.000764121611680053	0.99936320502732	0.00438686791928471
CASP8 activity is inhibited	0.70348025259142	0.148630704351481	0.24004626322326	0.249472529552735	0.155776398360929	0.108704963301682	0.72290290664075	0.680931286796283	0.0518381340078588	0.0230430253053701	0.188000312103987	0.0608010613434845	0.0497763599876755	0.0404456485596341	0.00793919281569318	0.719514668855316	0.559536762424977	0.00448603901164257	0.00175818964363728	0.0120249039836526	0.288125105219459	0.746766102235046	0.0962696399456565
TRIF-mediated programmed cell death	0.822900358227699	0.767511095774598	0.792802597294702	0.774714585469612	0.779418237334526	0.0240735751771469	0.0119418138520302	0.0760267921357225	0.00458620665218387	0.00135612224665355	0.00210244508994958	0.00143456311056796	0.00136973631878522	0.000493980810304322	0.00132027346566457	0.462309964988648	0.566100435022535	0.00294581502632326	0.63008616389245	0.00132953866197118	0.303442838716729	0.709134431788136	0.0094578125135554
Cross-presentation of soluble exogenous antigens (endosomes)	0.99936320502732	0.602203334133379	0.608895335841165	0.605236628184474	0.61021338896417	0.99936320502732	0.613991559806476	0.609051646602763	0.616210094253622	0.418141057602425	0.99936320502732	0.363661891399172	0.252631929806237	0.260410229464016	0.180272136843842	0.600181339957237	0.568048826884148	0.766845364582088	0.99936320502732	0.149002484819336	0.667473905334684	0.99936320502732	0.255763197001161
Regulation of ornithine decarboxylase (ODC)	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.170972396951435	0.99936320502732	0.042931595179354	0.0348910159103282	0.0609524208210242	0.147802773228196	0.99936320502732	0.571743453989867	0.693127125873256	0.99936320502732	0.649385154876897	0.674712712045344	0.99936320502732	0.107036270606368
Activation of the TFAP2 (AP-2) family of transcription factors	0.61801029519881	0.601126162008027	0.499622401239998	0.495289179462134	0.518273941539129	0.437571788090506	0.766479897641768	0.748556416971133	0.746798778777614	0.585686500493838	0.550356961229252	0.479853151185202	0.463660986558549	0.463545527278552	0.494115957327393	0.758498531737242	0.573566728355244	0.107438117785292	0.761444843354248	0.439731088714618	0.700494358378189	0.785852614972429	0.00222433828925229
RHO GTPases regulate CFTR trafficking	0.761147055405183	0.767543704198068	0.795224287270701	0.780411073104722	0.774865562412971	0.0547027939636458	0.780642375648369	0.736992214207661	0.184038159494568	0.643002368072661	0.776456139039415	0.454505907240751	0.477519940152227	0.0585491881495957	0.0109490279898186	0.717739852969296	0.575465801121789	0.0126459179838175	0.712163469413444	0.293575075447361	0.693542398770109	0.0154677276938141	0.297887297886225
Reelin signalling pathway	0.821903266428941	0.813307062232193	0.790706273025908	0.783780729485874	0.812250823122785	0.628610766601641	0.792280323091578	0.82054359188648	0.822666573627333	0.411789075282083	0.787902233618888	0.818379451160845	0.743300745732221	0.686242462997924	0.717119782969777	0.793492923099381	0.576536356249178	0.238265028088347	0.795581801065158	0.782182747079443	0.500567792406546	0.790406814403676	0.60688981471709
PKA activation	0.862599369132459	0.854327579001082	0.882639658387596	0.813150297578409	0.827465643233671	0.531651227557729	0.730342275830321	0.802686793731411	0.845026926988182	0.125198294470952	0.805439174592528	0.612609354259357	0.634860394953406	0.58142826294023	0.262807612142831	0.797148411173169	0.577561721358327	0.0298917347996151	0.822293905161683	0.800667494534412	0.568732704961701	0.779055251683144	0.135624077722842
JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.024406181152226	0.0479186900789717	0.670342303986755	0.737136610017979	0.00398973723648958	0.0272330347229847	0.0263861594329607	0.0330754681273603	0.0329554533099981	0.0353654869548677	0.0280921951647044	0.580197923850422	0.011150873650238	0.521554255004921	0.00332361814171646	0.0770674848125103	0.22566262583103	0.0503842321052405
Erythrocytes take up carbon dioxide and release oxygen	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.691956669480005	0.99936320502732	0.584439412864449	0.594556153050793	0.590141458603877	0.637719864863706	0.99936320502732	0.58343601561506	0.512799846565784	0.99936320502732	0.430361036354397	0.590956987544308	0.99936320502732	0.790528055795677
Abortive elongation of HIV-1 transcript in the absence of Tat	0.6236340969097	0.631910285554233	0.382699152051033	0.390800217263395	0.423657339014605	0.626457539690233	0.0617317231897523	0.0301750848880124	0.0327255681398329	0.00822185342640102	0.637592331026884	0.624960518490843	0.631366934620687	0.629368655472573	0.63120800841384	0.99936320502732	0.584762724584919	0.00413262951819593	0.6295226847087	0.556368335440452	0.0308583429391862	0.641500060123053	0.0143371815368534
Formation of the Early Elongation Complex	0.637213733241703	0.632673863100692	0.085819757894951	0.0749650064363411	0.10513283205765	0.619006426423143	0.071025597254814	0.0281017253165518	0.0361554961441257	0.0053708972989789	0.630544060662475	0.634193876833265	0.621756804009696	0.625707781345097	0.326361319600004	0.99936320502732	0.591102124975751	0.000491804151009533	0.627438101537604	0.482419763084376	0.0114858599609868	0.634865930703448	0.0029031173668005
O2/CO2 exchange in erythrocytes	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.72004843199295	0.99936320502732	0.606277030362196	0.596121645935854	0.603096708409011	0.64509298270776	0.99936320502732	0.592301882702171	0.484311729781372	0.99936320502732	0.412925856493137	0.602461353374068	0.99936320502732	0.756239646744314
Formation of the HIV-1 Early Elongation Complex	0.621601011812541	0.635549993864441	0.0776840403922516	0.0951695301357132	0.103359972538355	0.622707557666929	0.0811909763411669	0.025399071966036	0.0221536630262537	0.00351452359336739	0.624768336802115	0.62760689623592	0.645853344555904	0.612159812395366	0.26216377230361	0.99936320502732	0.596795313695074	0.000136303390487158	0.618730637244561	0.473451461437023	0.0096149806229673	0.639417334335264	0.00189641969821348
Mitotic Telophase/Cytokinesis	0.99936320502732	0.720279731653358	0.746057252485296	0.744944193501933	0.72606615376416	0.99936320502732	0.25389722968642	0.99936320502732	0.99936320502732	0.039482053888849	0.754988680255349	0.756365309745212	0.761331284973743	0.77349879082391	0.0273936497223465	0.99936320502732	0.600956225276153	0.703959031708589	0.99936320502732	0.0281798054158349	0.0688411907873068	0.731640485324361	0.220330992780214
Phosphorylation of proteins involved in the G2/M transition by Cyclin A:Cdc2 complexes	0.400374385924134	0.557429303593958	0.541790531620461	0.551779617930111	0.547120272273869	0.779128373023785	0.759873872652411	0.763208135987394	0.772396690923399	0.538873501819846	0.807767996468568	0.766355841223061	0.764074780674762	0.784005552936308	0.853234782105923	0.796679307388382	0.603017808624237	0.335988550162976	0.781219325553581	0.740487177885624	0.37758821262055	0.37159482437023	0.683931334310675
Regulation of commissural axon pathfinding by SLIT and ROBO	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.789192589127622	0.504215501130673	0.808658990264461	0.813355803115985	0.116326234938687	0.604086408032036	0.798854032230738	0.787917015319835	0.816880364705665	0.827300932010492	0.886819988918688	0.604760543240776	0.191168601723762	0.803677615723033	0.535249640135438	0.823013678699363	0.00596316599724234	0.218767958907394
FGFR2 mutant receptor activation	0.99936320502732	0.99936320502732	0.0106302805651465	0.0134179635701745	0.0105312019927584	0.726262937297995	0.0687636205731343	0.0140594393056254	0.0142604424796767	0.180799707815073	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.73232723270707	0.702456882816901	0.605603087180761	0.0112039840870508	0.99936320502732	0.327162562194529	0.00525554592536734	0.727606238612317	0.0413033547334085
Signaling by FGFR2 IIIa TM	0.99936320502732	0.99936320502732	0.00988142176831076	0.00955387268358067	0.0115001287206381	0.738481872851999	0.0560748064888868	0.00801986570529376	0.0177445353125499	0.181986021657674	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.743112842286542	0.707580869468581	0.607332530711944	0.0396785641093303	0.99936320502732	0.323920231467606	0.00481901164303656	0.706515396868741	0.0369199455414112
Retrograde neurotrophin signalling	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.0613755894224386	0.822989290956415	0.65489797761769	0.00353804294378961	0.00469322004307339	0.398325102172502	0.00452479099230361	0.00320290124948851	0.00809362528023874	0.00558729605536277	0.789760426491842	0.612706358776301	0.0764055852804735	0.764599082543073	0.00929577837297479	0.761064305164362	0.736726189380288	0.000195736654572811
Loss of phosphorylation of MECP2 at T308	0.488038052377339	0.463227032900155	0.431902810887565	0.451729890147924	0.486592984355852	0.494506909252299	0.74664261077436	0.672163366907463	0.738189609589368	0.174798401126133	0.520624371628709	0.645991073244745	0.644922746379662	0.576615581359407	0.421153076166941	0.47377708415839	0.612756131064103	0.423014612009925	0.495940755512908	0.548421368473747	0.517014347428184	0.842721735653242	0.189956238023378
Pyroptosis	0.99936320502732	0.145454402067539	0.157658180613117	0.157371400962853	0.161723325645593	0.417881621633621	0.581182662097177	0.0126725394243253	0.0822317051631282	0.105761831340623	0.0205295931801808	0.0313048261722793	0.0347721962847435	0.0344922118727144	0.0109537210257642	0.413050905291122	0.614429597734719	0.110022394378436	0.760461113681248	0.0299498749948295	0.157373929283421	0.766822295887528	0.0954193639019586
TFAP2A acts as a transcriptional repressor during retinoic acid induced cell differentiation	0.74370476716363	0.759546396336782	0.734242207109827	0.759054952267135	0.744719456124499	0.99936320502732	0.99936320502732	0.637522277517505	0.717089168620613	0.121064408644403	0.99936320502732	0.777970577647932	0.731047613683318	0.751378469078837	0.758703633866002	0.99936320502732	0.614766116549339	0.385745197659239	0.741845396769848	0.551630917790673	0.467226193041835	0.99936320502732	0.553170420086407
TGFBR1 LBD Mutants in Cancer	0.755431107081998	0.322707326566365	0.302041401146075	0.338380186576411	0.348617372767316	0.313400146880868	0.651210239620355	0.520539495783383	0.50537069591146	0.0272147045160216	0.683703860429261	0.389234925937128	0.444357161644099	0.499034876930585	0.0746325122679676	0.632671787994491	0.617754384092364	0.0516365164149314	0.630822047268871	0.10674735376825	0.190454507269893	0.781705140755705	0.0760331753303786
Fatty acids	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.623145511432143	0.99936320502732	0.570984995970183	0.573632525108881	0.566259107615641	0.000426944253836362	0.99936320502732	0.618111197086206	0.61870161062309	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.576076021237302
FGFR2c ligand binding and activation	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.716317417161985	0.736663379766793	0.729550618251741	0.717683819252691	0.659925533653934	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.735431179992847	0.715578720675858	0.619950719427316	0.00767652725977712	0.99936320502732	0.6420099618187	0.71072363965654	0.71416141833162	0.664950844645352
Metabolism of Angiotensinogen to Angiotensins	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.550235440161841	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.620932005784769	0.236679627578531	0.615248662524625	0.626833341114775	0.594881024062766	0.99936320502732	0.62898509823583
DEx/H-box helicases activate type I IFN and inflammatory cytokines production 	0.785117683900522	0.236796792397977	0.0706836014618777	0.0656160295614868	0.0872002246852503	0.670657924651835	0.7629212916471	0.4954596643875	0.665941254296189	0.249536015263704	0.39668082131296	0.465681943757788	0.423125409144694	0.451974744110271	0.46563722356086	0.478792241637788	0.628564171334852	0.292230350787271	0.554437273060744	0.283903390180672	0.148496839894159	0.000434362293613369	0.352584650155931
Binding of TCF/LEF:CTNNB1 to target gene promoters	0.0133462797266498	0.0006437249544718	0.000624338222355108	0.00120851507266716	0.00164106977840856	0.547532750482863	0.168964877784232	0.183551263107718	0.0909946043206526	0.0698115891414052	0.316841025717783	0.133911827675384	0.158544881734672	0.1198293914481	0.291034464614625	0.789944712190195	0.629097538160048	0.15490072794281	0.0555794324400255	0.560845341908558	0.163600157179447	0.771662425700393	0.077168016070129
Activated point mutants of FGFR2	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.730329864234665	0.726611440798112	0.717009946133069	0.726530724724761	0.638652460744319	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.706753853177631	0.700670944464178	0.629495492896387	0.0105013579842238	0.99936320502732	0.659342160896883	0.72598774803134	0.755883796094219	0.661923417319287
SUMOylation of ubiquitinylation proteins	0.158281578970253	0.229219049673384	0.125956719042237	0.107962111658846	0.0921327753995313	0.703853451868962	0.758375843071286	0.531573899166254	0.449905380223245	0.0501959443333787	0.782885166061552	0.519801835602893	0.671147482679816	0.690839485816183	0.418489898784202	0.556177963944167	0.63380565004237	0.0590522369790565	0.127325676286817	0.161958783619107	0.275362331972933	0.104150588763464	0.0619027244165943
FGFR3 mutant receptor activation	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.770993900221077	0.703101065227969	0.721925214910877	0.650711695682124	0.718903711112316	0.713266401365743	0.707602117294944	0.6967897479513	0.715598325135606	0.742801613781241	0.634055702869863	0.0136508895459829	0.750239448001203	0.665631469095287	0.70100992752077	0.712524844381327	0.635849882192874
Regulation of gene expression in endocrine-committed (NEUROG3+) progenitor cells	0.0023024697245472	0.043106767684926	0.00570319803104055	1.34763574275207e-06	1.31492889879571e-05	0.472601897043882	0.99936320502732	0.99936320502732	0.99936320502732	0.0688561114202861	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.636494621915483	5.39722304127116e-05	0.99936320502732	0.62308745199699	0.631841305825249	0.99936320502732	0.48123056934311
Regulation of cytoskeletal remodeling and cell spreading by IPP complex components	0.811157989551762	0.784975099659012	0.793808791507495	0.777507545908875	0.770933661419646	0.685687692012469	0.539340151487592	0.757714068799148	0.752466904503662	0.593837278249356	0.562104436135724	0.563917089396596	0.249356422569137	0.407669206732998	0.231631060731261	0.99936320502732	0.638240547662046	0.759715334313859	0.833764040290461	0.729299395609486	0.618969670713617	0.820512540126411	0.317514774525617
Loss of Function of TGFBR2 in Cancer	0.795873919096837	0.792701962876256	0.801643160334846	0.798308487020084	0.842175042606692	0.310445834209974	0.664401969459967	0.558611206667017	0.496170616903109	0.0535932394649078	0.658880081989403	0.436637466491129	0.454364048097758	0.463886587524309	0.0920093553210825	0.655810844102764	0.638432253411758	0.0816369461273254	0.642727791469859	0.158367559210736	0.65594257224715	0.796160438285949	0.0749187777839234
Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE)	0.99936320502732	0.65979155428583	0.651880659104915	0.654291668890455	0.647108633597977	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.230077022513975	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.508922813787367	0.99936320502732	0.639175919434619	0.648901765724888	0.99936320502732	0.0115369006551894	0.99936320502732	0.99936320502732	0.644874701995941
Activation of Matrix Metalloproteinases	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	3.53867376359179e-07	0.646630896601526	0.00014317044663753	1.13000905862364e-05	5.27351704570341e-09	0.660340533799965	0.0181778615245258	0.0206611321035858	0.0374840877300938	0.00266955035412247	0.0018162826712465	0.639782107548923	1.14278710358583e-08	0.648697827718665	0.00204228096492675	0.0530518804696833	0.99936320502732	5.02470037882483e-07
TGFBR2 Kinase Domain Mutants in Cancer	0.775858844814962	0.793728436667186	0.764448796149989	0.795330483304277	0.78449130215014	0.350952989846297	0.649901526448289	0.548885223995304	0.526235548960746	0.0689422699466408	0.669911540143972	0.383524523131923	0.452638955477542	0.47016450260592	0.0701665468959364	0.649637208396441	0.643990653075349	0.0928457437782185	0.636590646657406	0.233425899253692	0.642809061898329	0.788125564272725	0.0641098748837431
Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET)	0.99936320502732	0.644029084502518	0.671452320165856	0.655203896240213	0.654785960334065	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.301671007319852	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.644737429781977	0.65136721186933	0.99936320502732	0.0103294523653227	0.99936320502732	0.99936320502732	0.646150137011828
Activation of BIM and translocation to mitochondria 	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.726587990298629	0.99936320502732	0.99936320502732	0.99936320502732	0.183001455966019	0.776801947548348	0.728036867629385	0.747180409897455	0.718673936582404	0.699617111318136	0.99936320502732	0.64683256211758	0.70228641032665	0.642329066116278	0.633046922665888	0.0312937394807059	0.99936320502732	0.697674717776282
